Name,Population,Demand (education),Demand (household),Demand (peak institution),Demand (commercial),Demand (production),Demand (health),Demand (peak),Demand (lighting),Demand (total),Demand (peak household),Growth (household),Growth (population),Technology (standalone),Technology (standalone cost),Cost (grid extension initial),Cost (grid extension total),Cost (grid extension recurring),Cost (photovoltaic diesel initial),Cost (photovoltaic diesel total),Cost (photovoltaic diesel recurring),Cost (diesel initial),Cost (diesel total),Cost (diesel recurring),Cost (grid internal initial),Cost (grid internal total),Cost (grid internal recurring),Metric
SANTHIOU DIAOBE,93.0,100.335397021,1221.15402201,0.782816150198,67.643307256,252.400957391,1717.57146654,1.11737889595,107.562874484,4078.43297023,0.334562745755,12,116,photovoltaic diesel,207344.430444,20.0,26.5542049128,1.06666666667,76922.5,207344.430444,21225.5685714,13167.5,214411.535345,32751.54,19960.0,56990.3319756,6026.516,5662.15779995
MADAYANA MADE,318.0,106.147176287,4222.21236318,1.15991790822,73.4279278362,884.264784732,1790.82491511,2.31668841868,110.648651803,8455.91272817,1.15677051046,41,399,diesel,307250.274562,20.0,26.5542049128,1.06666666667,872822.5,1474087.12344,97853.0485714,43617.5,307250.274562,42905.02,58530.0,132297.912196,12005.388,6588.49937102
NDIELEGNE,181.0,102.420329115,2350.33597505,0.923569962842,69.659208055,488.199866728,1743.90191536,1.56749762724,108.644094198,5721.36633942,0.643927664398,23,227,diesel,249626.229531,20.0,26.5542049128,1.06666666667,334172.5,630335.853437,48199.2219048,24717.5,249626.229531,36602.86,34590.0,85555.2761971,8294.364,6178.71835638
THIAR PEULH I,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
POTOU II,110.0,100.730400865,1425.79419341,0.808357703856,68.0198632756,294.980122184,1722.56486496,1.19898625,107.765395918,4376.29981248,0.390628546139,14,138,diesel,220814.207015,20.0,26.5542049128,1.06666666667,89822.5,232469.497302,23215.1419048,15267.5,220814.207015,33451.78,22620.0,62183.9581977,6438.852,5973.82784906
POTOU I,1151.0,150.129461536,17135.2295715,2.94115659677,129.782810742,3797.40760816,2337.71198009,7.63574004102,139.622045221,27870.4511497,4.69458344425,150,1444,diesel,656195.880582,20.0,26.5542049128,1.06666666667,9664076.4746,15323727.0933,921082.074837,158067.5,656195.880582,81068.1,213500.0,471465.517429,41982.7,6956.72733416
KEUR KOURA,538.0,113.658874356,7327.69014673,1.56369777001,81.6004898839,1557.05224151,1884.96483077,3.57128411158,114.942372922,13035.1870073,2.00758634157,70,675,diesel,400089.013778,20.0,26.5542049128,1.06666666667,1970191.59278,3219816.22908,203370.654889,74067.5,400089.013778,53058.5,97100.0,207605.492416,17984.26,7248.70211682
NDIOBENE,233.0,103.753521145,3074.02593435,1.01413650724,70.9838108054,640.459242161,1760.70715327,1.85633539337,109.350896186,6775.62418578,0.842198886124,30,292,diesel,272035.580376,20.0,26.5542049128,1.06666666667,436022.5,804952.93035,60041.7285714,32067.5,272035.580376,39053.7,43900.0,103732.967974,9737.54,6338.07763985
BOUNDOU WOULA II,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
DALDIAM,52.0,99.452492896,609.520439561,0.708111522567,66.8110077771,125.708749477,1706.40143931,0.875103423817,107.11424337,3194.12749693,0.166991901249,6,65,photovoltaic diesel,131969.229869,20.0,26.5542049128,1.06666666667,38222.5,131969.229869,15256.8485714,6867.5,195203.520335,30650.82,11980.0,41409.4533093,4789.508,3410.37424607
